,F1 ,F2,F3,F4,F5,F6,F7
2017-08-17,,,,,,,
2017-08-18,,,,,,,
2017-08-19,,,,,,,
2017-08-20,,,,,,,
2017-08-21,8,8,4,3,1,,
2017-08-22,8,8,4,3,1,,
2017-08-23,8,8,5,3,1,,
2017-08-24,8,8,6,4,1,,
2017-08-25,8,8,6,4,1,,
2017-08-26,8,8,7,4,1,,
2017-08-27,8,8,7,4,1,,
2017-08-28,8,8,7,4,1,,
2017-08-29,8,8,7,4,1,,
2017-08-30,c,c,7,4,1,,
2017-08-31,,,8,4,1,,
2017-09-01,,,8,6,1,,
2017-09-02,,,d+c,6,1,,
2017-09-03,,,,6,1,1,
2017-09-04,,,,7,1,1,
2017-09-05,,,,7,1,1,
2017-09-06,,,,7,1,1,
2017-09-07,,,,7,1,1,
2017-09-08,,,,7,1,1,
2017-09-09,,,,8,1,1,
2017-09-10,,,,8,2,1,
2017-09-11,,,,8,2,1,
2017-09-12,,,,d+c,2,1,
2017-09-13,,,,,2,1,
2017-09-14,,,,,2,1,
2017-09-15,,,,,3,1,
2017-09-16,,,,,3,1,
2017-09-17,,,,,3,1,
2017-09-18,,,,,3,1,
2017-09-19,,,,,3,1,
2017-09-20,,,,,3,2,1
