,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21
2017-08-17,,,,,,,,,,,,,,,,,,,,,
2017-08-18,,,,,,,,,,,,,,,,,,,,,
2017-08-19,,,,,,,,,,,,,,,,,,,,,
2017-08-20,,,,,,,,,,,,,,,,,,,,,
2017-08-21,,,,,,,,,,,,,,,,,,,,,
2017-08-22,,,,,,,,,,,,,,,,,,,,,
2017-08-23,,,,,,,,,,,,,,,,,,,,,
2017-08-24,,,,,,,,,,,,,,,,,,,,,
2017-08-25,,,,,,,,,,,,,,,,,,,,,
2017-08-26,,,,,,,,,,,,,,,,,,,,,
2017-08-27,5,5,4,4,4,2,3,3,2,2,1,1,1,1,1,1,,,,,
2017-08-28,5,6,4,,,2,3,3,3,2,1,1,1,1,1,1,,,,,
2017-08-29,6,6,4,,,3,4,3,3,2,1,1,1,1,1,1,,,,,
2017-08-30,7,7,5,,,3,4,3,3,2,1,1,1,1,1,1,1,,,,
2017-08-31,7,7,5,,,3,4,3,3,2,1,1,1,1,1,1,1,,,,
2017-09-01,7,7,5,,,4,4,3,3,2,1,2,,1,1,1,1,,,,
2017-09-02,7,7,5,,,4,4,3,4,3,1,2,,1,1,,1,,,,
2017-09-03,d+c,d+c,5,,,4,4,4,4,3,2,3,,1,1,,1,,,,
2017-09-04,,,5,,,4,4,4,4,3,2,3,,1,1,,1,,,,
2017-09-05,,,,,,4,5,4,4,3,2,3,,1,1,,1,,,,
2017-09-06,,,,,,4,5,4,4,3,2,3,,1,1,,1,,,,
2017-09-07,,,,,,4,6,4,4,3,3,3,,2,1,,1,,,,
2017-09-08,,,,,,4,6,4,4,3,3,3,,2,1,,1,1,,,
2017-09-09,,,,,,5,6,5,4,4,3,3,,2,1,,1,1,,,
2017-09-10,,,,,,5,6,6,5,4,3,3,,2,1,,1,1,1,,
2017-09-11,,,,,,6,7,6,7,4,3,3,,2,1,,1,1,1,,
2017-09-12,,,,,,6,7,6,7,4,3,3,,3,2,,1,1,1,,
2017-09-13,,,,,,6,7,6,7,4,4,4,,3,2,,1,1,1,1,1
2017-09-14,,,,,,6,7,7,7,4,4,4,,3,2,,,1,1,1,1
2017-09-15,,,,,,7,7,7,7,4,4,4,,3,2,,,1,1,1,1
2017-09-16,,,,,,7,7,7,7,4,4,4,,3,2,,,,1,1,1
2017-09-17,,,,,,7,7,7,d,4,4,4,,3,2,,,,1,1,1
2017-09-18,,,,,,d,7,d+c,,,4,4,,,2,,,,1,,
2017-09-19,,,,,,,8,,,,4,4,,,2,,,,1,,
2017-09-20,,,,,,,c,,,,4,5,,,3,,,,1,,
