,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
2017-08-17,,,,,,,,,,,,
2017-08-18,,,,,,,,,,,,
2017-08-19,,,,,,,,,,,,
2017-08-20,,,,,,,,,,,,
2017-08-21,,,,,,,,,,,,
2017-08-22,,,,,,,,,,,,
2017-08-23,,,,,,,,,,,,
2017-08-24,,,,,,,,,,,,
2017-08-25,,,,,,,,,,,,
2017-08-26,,,,,,,,,,,,
2017-08-27,,,,,,,,,,,,
2017-08-28,5,5,4,4,4,3,3,3,2,2,1,1
2017-08-29,6,6,4,4,4,3,3,3,2,2,1,1
2017-08-30,6,6,5,4,4,3,3,3,2,2,1,1
2017-08-31,6,6,6,4,4,4,3,4,3,3,1,1
2017-09-01,6,6,6,5,4,4,3,4,3,3,2,1
2017-09-02,7,6,7,6,4,4,3,4,3,3,2,
2017-09-03,7,7,7,7,4,4,3,4,3,3,2,
2017-09-04,7,7,7,7,4,4,4,4,3,3,2,
2017-09-05,7,7,7,7,,5,4,4,3,,3,
2017-09-06,7,d,7,7,,5,4,4,3,,,
2017-09-07,7,,d,d,,5,4,4,3,,,
2017-09-08,7,,,,,6,5,4,3,,,
2017-09-09,7,,,,,6,5,4,3,,,
2017-09-10,7,,,,,7,5,4,3,,,
2017-09-11,d+c,,,,,7,5,4,3,,,
2017-09-12,,,,,,7,7,5,3,,,
2017-09-13,,,,,,d+c,7,5,3,,,
2017-09-14,,,,,,,7,6,4,,,
2017-09-15,,,,,,,d,7,4,,,
2017-09-16,,,,,,,,7,4,,,
2017-09-17,,,,,,,,7,4,,,
2017-09-18,,,,,,,,d,4,,,
2017-09-19,,,,,,,,,4,,,
2017-09-20,,,,,,,,,5,,,
