,F1 ,F2,F3,F4
2017-08-17,,,,
2017-08-18,,,,
2017-08-19,,,,
2017-08-20,,,,
2017-08-21,5,4,3,2
2017-08-22,5,4,3,2
2017-08-23,5,4,3,2
2017-08-24,5,4,3,2
2017-08-25,5,5,4,3
2017-08-26,7,5,4,3
2017-08-27,7,5,4,3
2017-08-28,7,5,4,4
2017-08-29,7,6,4,4
2017-08-30,7,7,5,4
2017-08-31,7,7,5,4
2017-09-01,7,7,5,4
2017-09-02,8,7,6,4
2017-09-03,8,7,6,4
2017-09-04,8,7,6,4
2017-09-05,d,7,7,5
2017-09-06,,8,7,5
2017-09-07,,8,8,5
2017-09-08,,8,8,5
2017-09-09,,8,8,6
2017-09-10,,d+c,8,6
2017-09-11,,,d,7
2017-09-12,,,,d+c
2017-09-13,,,,
2017-09-14,,,,
2017-09-15,,,,
2017-09-16,,,,
2017-09-17,,,,
2017-09-18,,,,
2017-09-19,,,,
2017-09-20,,,,
