,F1 ,F2,F3,F4,F5
2017-08-17,5,4,,,
2017-08-18,5,4,,,
2017-08-19,5,4,4,3,2
2017-08-20,6,4,4,3,2
2017-08-21,6,4,4,3,3
2017-08-22,6,5,4,4,3
2017-08-23,6,5,4,4,3
2017-08-24,7,5,4,4,3
2017-08-25,7,5,4,4,3
2017-08-26,d,5,4,4,3
2017-08-27,,6,4,4,3
2017-08-28,,6,5,4,4
2017-08-29,,6,5,4,4
2017-08-30,,6,6,4,4
2017-08-31,,7,6,5,4
2017-09-01,,7,6,6,4
2017-09-02,,7,6,6,4
2017-09-03,,7,6,6,4
2017-09-04,,7,7,6,5
2017-09-05,,d+c,7,7,6
2017-09-06,,,7,7,6
2017-09-07,,,7,7,7
2017-09-08,,,7,7,8
2017-09-09,,,7,7,8
2017-09-10,,,7,d,d
2017-09-11,,,7,,
2017-09-12,,,7,,
2017-09-13,,,7,,
2017-09-14,,,7,,
2017-09-15,,,7,,
2017-09-16,,,7,,
2017-09-17,,,7,,
2017-09-18,,,7,,
2017-09-19,,,7,,
2017-09-20,,,7,,
