,F1 ,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
2017-08-17,,,,,,,,,,,,
2017-08-18,,,,,,,,,,,,
2017-08-19,4,3,2,2,1,1,1,,,,,
2017-08-20,4,3,2,2,1,1,1,,,,,
2017-08-21,4,4,3,2,1,1,1,,,,,
2017-08-22,4,4,3,2,1,1,1,,,,,
2017-08-23,4,4,3,2,1,1,1,,,,,
2017-08-24,4,4,3,2,1,1,1,,,,,
2017-08-25,4,4,3,2,2,1,1,,,,,
2017-08-26,5,5,3,3,2,1,1,,,,,
2017-08-27,6,5,3,3,2,1,1,,,,,
2017-08-28,6,6,3,3,2,1,1,,,,,
2017-08-29,6,6,4,3,2,1,1,,,,,
2017-08-30,7,7,4,3,3,1,1,,,,,
2017-08-31,7,7,4,3,3,2,1,,,,,
2017-09-01,7,7,4,3,3,2,1,,,,,
2017-09-02,7,7,4,4,3,2,,,,,,
2017-09-03,8,8,4,4,3,2,,,,,,
2017-09-04,8,8,5,4,,2,,,,,,
2017-09-05,8,8,6,4,,2,,,,,,
2017-09-06,d,d,6,4,,,,,,,,
2017-09-07,,,6,4,,,,,,,,
2017-09-08,,,7,4,,,,,,,,
2017-09-09,,,7,4,,,,,,,,
2017-09-10,,,7,4,,,,,,,,
2017-09-11,,,d,,,,,,,,,
2017-09-12,,,,,,,,,,,,
2017-09-13,,,,,,,,,,,,
2017-09-14,,,,,,,,,,,,
2017-09-15,,,,,,,,,,,,
2017-09-16,,,,,,,,,,,,
2017-09-17,,,,,,,,,,,,
2017-09-18,,,,,,,,,,,,
2017-09-19,,,,,,,,,,,,
2017-09-20,,,,,,,,,,,,
