,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25
2017-08-17,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-18,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-19,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-20,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-21,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-22,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-23,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-24,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-25,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-26,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-27,7,7,5,5,5,4,4,4,4,3,3,3,2,2,2,1,1,,,,,,,,
2017-08-28,7,7,6,6,6,4,4,4,3,3,3,3,2,2,1,1,1,1,1,,,,,,
2017-08-29,7,,6,6,6,4,4,4,4,3,3,3,2,2,2,1,1,1,1,,,,,,
2017-08-30,7,,7,7,7,5,4,4,4,3,3,3,3,2,2,1,1,1,1,1,,,,,
2017-08-31,7,,7,7,7,5,5,4,4,3,3,3,3,2,2,1,1,1,1,1,,,,,
2017-09-01,8,,7,7,7,6,6,5,4,4,4,4,3,2,2,1,1,1,1,1,3,,,,
2017-09-02,8,,7,7,7,6,6,6,4,4,4,4,4,2,2,1,2,1,1,1,3,,,,
2017-09-03,8,,d+c,d+c,d+c,6,6,6,4,4,4,4,4,2,3,1,2,1,1,1,3,1,,,
2017-09-04,8,,,,,6,6,6,5,4,4,4,4,2,3,2,2,1,1,1,4,1,,,
2017-09-05,c,,,,,7,7,7,5,4,4,4,4,3,3,2,3,2,1,1,4,1,1,,
2017-09-06,,,,,,d+c,7,7,5,4,4,4,4,3,3,2,3,2,1,1,4,1,1,,
2017-09-07,,,,,,,7,7,6,5,4,5,4,3,3,2,3,2,1,1,4,1,1,1,
2017-09-08,,,,,,,d,7,6,5,4,5,4,3,3,3,3,2,1,1,4,1,1,1,
2017-09-09,,,,,,,,7,6,5,4,6,4,3,4,3,3,2,1,1,4,1,1,1,
2017-09-10,,,,,,,,7,7,6,7,7,4,3,,3,3,3,1,1,4,1,1,1,1
2017-09-11,,,,,,,,8,7,6,7,7,5,3,,3,3,3,2,1,4,1,1,1,1
2017-09-12,,,,,,,,8,7,7,7,7,5,3,,3,4,3,2,1,4,1,1,1,1
2017-09-13,,,,,,,,8,7,7,7,7,5,3,,4,4,3,2,1,5,1,1,1,1
2017-09-14,,,,,,,,8,7,7,7,7,6,3,,4,4,3,2,2,5,1,1,1,1
2017-09-15,,,,,,,,8,7,7,7,7,6,3,,4,4,4,3,2,7,1,1,1,1
2017-09-16,,,,,,,,8,7,7,d+c,d+c,7,,,4,4,,3,2,7,1,2,1,1
2017-09-17,,,,,,,,8,7,7,,,7,,,4,4,,3,2,7,1,2,1,1
2017-09-18,,,,,,,,8,7,7,,,7,,,4,4,,3,2,,1,2,1,1
2017-09-19,,,,,,,,8,8,7,,,7,,,4,4,,3,3,,1,2,1,1
2017-09-20,,,,,,,,c,8,7,,,7,,,4,4,,3,3,,1,2,1,1
