indiv_flower,date,stage
1_3,2017-08-21,7
1_3,2017-08-22,7
1_3,2017-08-23,7
1_3,2017-08-24,7
1_3,2017-08-25,7
1_4,2017-08-21,6
1_4,2017-08-22,6
1_4,2017-08-23,6
1_4,2017-08-24,7
1_4,2017-08-25,7
1_4,2017-08-26,7
1_4,2017-08-27,7
1_5,2017-08-21,5
1_5,2017-08-22,5
1_5,2017-08-23,5
1_5,2017-08-24,6
1_5,2017-08-25,6
1_5,2017-08-26,6
1_5,2017-08-27,7
1_5,2017-08-28,7
1_5,2017-08-29,7
1_5,2017-08-30,7
1_6,2017-08-21,4
1_6,2017-08-22,4
1_6,2017-08-23,4
1_6,2017-08-24,4
1_6,2017-08-25,5
1_6,2017-08-26,5
1_6,2017-08-27,5
1_6,2017-08-28,6
1_6,2017-08-29,6
1_6,2017-08-30,7
1_6,2017-08-31,7
1_6,2017-09-01,7
1_6,2017-09-02,7
1_6,2017-09-03,7
1_7,2017-08-21,4
1_7,2017-08-22,4
1_7,2017-08-23,4
1_7,2017-08-24,4
1_7,2017-08-25,4
1_7,2017-08-26,4
1_7,2017-08-27,5
1_7,2017-08-28,5
1_7,2017-08-29,5
1_7,2017-08-30,6
1_7,2017-08-31,6
1_7,2017-09-01,6
1_7,2017-09-02,6
1_7,2017-09-03,7
1_7,2017-09-04,7
1_7,2017-09-05,8
1_7,2017-09-06,8
1_8,2017-08-21,3
1_8,2017-08-22,3
1_8,2017-08-23,3
1_8,2017-08-24,3
1_8,2017-08-25,4
1_8,2017-08-26,4
1_8,2017-08-27,4
1_8,2017-08-28,4
1_8,2017-08-29,4
1_8,2017-08-30,4
1_8,2017-08-31,4
1_8,2017-09-01,5
1_8,2017-09-02,6
1_8,2017-09-03,6
1_8,2017-09-04,6
1_8,2017-09-05,7
1_8,2017-09-06,7
1_8,2017-09-07,7
1_8,2017-09-08,7
1_8,2017-09-09,8
1_9,2017-08-21,3
1_9,2017-08-22,3
1_9,2017-08-23,3
1_9,2017-08-24,3
1_9,2017-08-25,3
1_9,2017-08-26,4
1_9,2017-08-27,4
1_9,2017-08-28,4
1_9,2017-08-29,4
1_9,2017-08-30,4
1_9,2017-08-31,4
1_9,2017-09-01,4
1_9,2017-09-02,5
1_9,2017-09-03,5
1_9,2017-09-04,6
1_9,2017-09-05,6
1_9,2017-09-06,7
1_9,2017-09-07,7
1_9,2017-09-08,7
1_9,2017-09-09,8
1_9,2017-09-10,8
1_10,2017-08-21,2
1_10,2017-08-22,2
1_10,2017-08-23,2
1_10,2017-08-24,2
1_10,2017-08-25,3
1_10,2017-08-26,3
1_10,2017-08-27,3
1_10,2017-08-28,3
1_10,2017-08-29,3
1_10,2017-08-30,3
1_10,2017-08-31,3
1_10,2017-09-01,4
1_10,2017-09-02,4
1_10,2017-09-03,4
1_10,2017-09-04,4
1_10,2017-09-05,4
1_10,2017-09-06,4
1_10,2017-09-07,5
1_10,2017-09-08,5
1_10,2017-09-09,5
1_10,2017-09-10,5
1_10,2017-09-11,6
1_10,2017-09-12,6
1_10,2017-09-13,7
1_10,2017-09-14,7
1_10,2017-09-15,7
1_10,2017-09-16,7
1_10,2017-09-17,7
1_10,2017-09-18,7
1_11,2017-08-21,2
1_11,2017-08-22,2
1_11,2017-08-23,2
1_11,2017-08-24,2
1_11,2017-08-25,2
1_11,2017-08-26,2
1_11,2017-08-27,3
1_11,2017-08-28,3
1_11,2017-08-29,3
1_11,2017-08-30,3
1_11,2017-08-31,3
1_11,2017-09-01,3
1_11,2017-09-02,4
1_11,2017-09-03,4
1_11,2017-09-04,4
1_11,2017-09-05,4
1_11,2017-09-06,4
1_11,2017-09-07,4
1_11,2017-09-08,4
1_11,2017-09-09,4
1_11,2017-09-10,5
1_11,2017-09-11,5
1_11,2017-09-12,5
1_11,2017-09-13,6
1_11,2017-09-14,7
1_11,2017-09-15,7
1_11,2017-09-16,7
1_11,2017-09-17,7
1_11,2017-09-18,7
1_11,2017-09-19,7
1_11,2017-09-20,7
1_12,2017-08-21,1
1_12,2017-08-22,1
1_12,2017-08-23,1
1_12,2017-08-24,1
1_12,2017-08-25,1
1_12,2017-08-26,1
1_12,2017-08-27,1
1_12,2017-08-28,2
1_12,2017-08-29,2
1_12,2017-08-30,2
1_12,2017-08-31,2
1_12,2017-09-01,3
1_13,2017-08-21,1
1_13,2017-08-22,1
1_13,2017-08-23,1
1_13,2017-08-24,1
1_13,2017-08-25,1
1_13,2017-08-26,1
1_13,2017-08-27,1
1_13,2017-08-28,1
1_13,2017-08-29,1
1_13,2017-08-30,2
1_13,2017-08-31,2
1_13,2017-09-01,2
1_13,2017-09-02,2
1_13,2017-09-03,2
1_13,2017-09-04,3
1_13,2017-09-05,3
1_13,2017-09-06,3
1_13,2017-09-07,4
1_13,2017-09-08,4
1_13,2017-09-09,4
1_13,2017-09-10,4
1_13,2017-09-11,4
1_13,2017-09-12,4
1_13,2017-09-13,4
1_13,2017-09-14,4
1_13,2017-09-15,4
1_13,2017-09-16,4
1_13,2017-09-17,5
1_13,2017-09-18,5
1_13,2017-09-19,5
1_13,2017-09-20,5
