name,latitude,longitude,elevation
CNTRPGN 1-10,-13.05684404,-71.54468796,1306.706299
CNTRPGN 11,-13.05603501,-71.545154,1301.994873
CNTRPGN 12-15,-13.05927998,-71.547729,1381.661133
CNTRPGN 16-20,-13.05899902,-71.54665897,1323.870483
CNTRPGN 21-23,-13.05920497,-71.54689902,1330.93689
CNTRPGN 24-32,-13.05931804,-71.54778298,1345.147217
CNTRPGN 33-41,-13.05820702,-71.54804802,1359.791504
CNTRPGN 42,-13.05720496,-71.54699198,1370.25
CNTRPGN 43-50,-13.05727797,-71.546723,1368.063354
CNTRPGN 51-53,-13.05563201,-71.54675804,1358.099487
CNTRPGN 54-60,-13.05695501,-71.547844,1398.830566
