Date_observed,time_of_day,feeding_mode,temperature_celcius,centropogon_ID,flower_ID
Aug_18_2017,12:36,hovering,19,1,1
Aug_22_2017,10:38,hovering,21,1,1
Aug_22_2017,10:38,hovering,21,1,2
Aug_22_2017,15:54,hovering,20,1,1
Aug_22_2017,10:39,hovering,20,2,1
Aug_23_2017,10:24,hovering,19,1,2
Aug_24_2017,7:17,perching,17,1,1
Aug_24_2017,7:17,hovering,17,1,2
Aug_25_2017,16:27,inspecting,19,3,NA
Aug_26_2017,5:52,hovering,15,4,1
Sep_15_2017,5:24,hovering,16,5,1
Sep_16_2017,5:56,inspecting,15,5,NA
Sep_19_2017,5:36,perching,14,5,2
Sep_19_2017,7:15,perching,16,6,1
