,F1 ,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
2017-08-17,,,,,,,,,,,,
2017-08-18,,,,,,,,,,,,
2017-08-19,,,,,,,,,,,,
2017-08-20,,,,,,,,,,,,
2017-08-21,4,3,2,2,1,1,1,1,,,,
2017-08-22,4,3,2,2,1,1,1,1,1,1,,
2017-08-23,4,3,2,2,1,1,1,1,1,1,,
2017-08-24,4,3,,2,1,1,1,1,1,1,,
2017-08-25,5,4,,2,2,1,1,1,1,1,,
2017-08-26,5,4,,2,2,1,1,1,1,1,,
2017-08-27,5,4,,2,2,1,1,1,1,1,,
2017-08-28,5,4,,,2,1,1,1,1,1,,
2017-08-29,5,4,,,2,1,1,1,1,1,,
2017-08-30,6,4,,,2,2,1,1,1,1,,
2017-08-31,6,5,,,3,2,1,1,1,1,,
2017-09-01,7,5,,,3,2,1,1,1,1,,
2017-09-02,7,6,,,3,2,2,1,1,1,,
2017-09-03,7,6,,,3,2,2,1,1,1,,
2017-09-04,7,6,,,4,3,2,1,1,1,,
2017-09-05,7,7,,,4,3,2,1,1,1,,
2017-09-06,8,7,,,4,3,3,1,1,1,,
2017-09-07,d+c,7,,,4,4,3,1,1,1,,
2017-09-08,,7,,,4,4,3,2,1,1,,
2017-09-09,,7,,,4,4,3,2,1,1,,
2017-09-10,,7,,,4,4,3,2,1,1,,
2017-09-11,,d+c,,,4,4,3,2,1,1,,
2017-09-12,,,,,4,4,3,2,2,1,,
2017-09-13,,,,,5,4,4,2,2,1,,
2017-09-14,,,,,5,4,4,2,2,2,,
2017-09-15,,,,,6,4,4,2,2,2,,
2017-09-16,,,,,6,5,4,2,2,2,,
2017-09-17,,,,,7,5,4,2,2,2,1,1
2017-09-18,,,,,7,5,4,2,3,,1,1
2017-09-19,,,,,7,5,4,2,3,,1,1
2017-09-20,,,,,8,5,5,2,3,,1,
