,F1 ,F2,F3,F4,F5,F6,F7
2017-08-17,,,,,,,
2017-08-18,4,,,,,,
2017-08-19,4,4,2,2,2,1,1
2017-08-20,4,4,2,2,2,1,1
2017-08-21,4,4,3,2,2,1,1
2017-08-22,4,4,3,2,2,1,1
2017-08-23,4,4,3,2,2,1,1
2017-08-24,5,4,4,2,2,1,1
2017-08-25,6,4,4,2,2,1,1
2017-08-26,6,4,4,3,2,1,1
2017-08-27,6,4,4,3,2,1,1
2017-08-28,7,4,4,3,3,2,1
2017-08-29,7,5,4,3,3,2,1
2017-08-30,7,6,4,3,3,2,1
2017-08-31,7,6,4,3,3,2,2
2017-09-01,7,6,4,4,3,3,2
2017-09-02,7,6,4,4,3,3,2
2017-09-03,d+c,7,4,4,4,3,2
2017-09-04,,7,4,4,4,3,2
2017-09-05,,7,5,4,4,3,3
2017-09-06,,7,5,4,4,3,3
2017-09-07,,7,6,4,4,4,3
2017-09-08,,8,6,5,4,4,3
2017-09-09,,8,6,6,4,4,3
2017-09-10,,8,6,6,5,4,4
2017-09-11,,d,7,6,5,4,4
2017-09-12,,,7,7,6,4,4
2017-09-13,,,7,7,6,4,4
2017-09-14,,,7,7,6,4,4
2017-09-15,,,7,7,7,5,4
2017-09-16,,,7,7,7,6,4
2017-09-17,,,d+c,7,7,7,4
2017-09-18,,,,7,7,7,4
2017-09-19,,,,7,7,7,5
2017-09-20,,,,7,7,d,5
