,F1,F2,F3,F4,F5,F6
2017-08-17,,,,,,
2017-08-18,,,,,,
2017-08-19,,,,,,
2017-08-20,,,,,,
2017-08-21,,,,,,
2017-08-22,,,,,,
2017-08-23,,,,,,
2017-08-24,,,,,,
2017-08-25,,,,,,
2017-08-26,,,,,,
2017-08-27,,,,,,
2017-08-28,7,6,6,5,5,4
2017-08-29,7,7,6,6,6,4
2017-08-30,,7,6,6,6,4
2017-08-31,,7,6,6,6,4
2017-09-01,,7,6,6,6,4
2017-09-02,,7,7,7,6,5
2017-09-03,,7,7,7,7,6
2017-09-04,,7,7,7,7,6
2017-09-05,,7,7,7,d+c,7
2017-09-06,,7,7,7,,7
2017-09-07,,7,7,7,,7
2017-09-08,,d+c,7,7,,7
2017-09-09,,,d+c,d,,8
2017-09-10,,,,,,8
2017-09-11,,,,,,8
2017-09-12,,,,,,d+c
2017-09-13,,,,,,
2017-09-14,,,,,,
2017-09-15,,,,,,
2017-09-16,,,,,,
2017-09-17,,,,,,
2017-09-18,,,,,,
2017-09-19,,,,,,
2017-09-20,,,,,,
