species,clade,family,gbif_name,genus
Centropogon roseus,eucentropogonids section Amplifolii,Campanulaceae,Centropogon roseus Rusby,Centropogon
Centropogon hirtus ,eucentropogonids section Amplifolii,Campanulaceae,Centropogon hirtus (G.Don) C.Presl,Centropogon
Centropogon umbrosus ,eucentropogonids section Amplifolii,Campanulaceae,Centropogon umbrosus E.Wimm.,Centropogon
Centropogon yungasensis,eucentropogonids section Campylobotrys,Campanulaceae,Centropogon yungasensis Britton,Centropogon
Centropogon granulosus,eucentropogonids section Campylobotrys,Campanulaceae,Centropogon granulosus C.Presl,Centropogon
Centropogon cornutus,eucentropogonids subclade Centropogon cornutus ,Campanulaceae,Centropogon cornutus (L.) Druce,Centropogon
Heliconia apparicioi,Subgenus Stenochlamys,Heliconiaceae,Heliconia apparicioi Barreiros,Heliconia
Heliconia metallica,Subgenus Stenochlamys,Heliconiaceae,Heliconia metallica Planch. & Linden ex Hook.,Heliconia
Heliconia rostrata,Subgenus Griggsia,Heliconiaceae,Heliconia rostrata Ruiz & Pav.,Heliconia
Heliconia lingulata,Subgenus Stenochlamys,Heliconiaceae,Heliconia lingulata Ruiz & Pav.,Heliconia
Heliconia aemygdiana,Subgenus Stenochlamys,Heliconiaceae,Heliconia aemygdiana Burle-Marx,Heliconia
Siphocampylus corynoides,unnamed sister clade to eucentropogon,Campanulaceae,Siphocampylus corynoides E.Wimm.,Siphocampylus
Siphocampylus tupaeformis,unnamed sister clade to eucentropogon,Campanulaceae,Siphocampylus tupaeformis Zahlbr.,Siphocampylus
Siphocampylus citrinus,unnamed sister clade to eucentropogon,Campanulaceae,Siphocampylus citrinus E.Wimm.,Siphocampylus
Siphocampylus scandens,unnamed sister clade to eucentropogon,Campanulaceae,Siphocampylus scandens (Kunth) G.Don,Siphocampylus
Heliconia stricta,Subgenus Heliconia,Heliconiaceae,Heliconia stricta Huber,Heliconia_subgen_Heliconia
Heliconia episcopalis,Subgenus Heliconia,Heliconiaceae,Heliconia episcopalis Vell.,Heliconia_subgen_Heliconia
Heliconia spathocircinata,Subgenus Heliconia,Heliconiaceae,Heliconia spathocircinata Aristeg.,Heliconia_subgen_Heliconia
Heliconia orthotricha,Subgenus Heliconia,Heliconiaceae,Heliconia orthotricha L.Andersson,Heliconia_subgen_Heliconia
Eutoxeres condamini,Phethornithinae,Trochilidae,"Eutoxeres condamini (Bourcier, 1851)",Eutoxeres
Phaethornis guy,Phethornithinae,Trochilidae,"Phaethornis guy (Lesson, 1833)",Phaethornis
